Entity Name,Entity Description,Attribute Name,Attribute Description,Logical Data Type,Table Name ,Column Name,Physical Data Type,Null Option,Release,Is PK-FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Account Billing Name,Account Billing Name,VARCHAR(255),ACCT,ACCT_BILL_NM,VARCHAR2(255),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Accounting Balance Policy Indicator,This is a customized solution,VARCHAR(15),ACCT,ACCT_BLNC_PLCY_IND,VARCHAR2(15),Null,R1,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Account Identifier,BCC Accound unique identifier,DECIMAL(18),ACCT,ACCT_ID,NUMBER(18),Null,R1+R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Account Key,Generated Key based on Account Id + Source System Code,BIGINT,ACCT,ACCT_KEY,Number(18),Not Null,R1+R2,PK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Account Modification Identifier,The username or process ID (for example bip01 cap01) of the user/process that last modified this record,VARCHAR(32),ACCT,ACCT_MODI_ID,VARCHAR2(32),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Account Name,Account Name,VARCHAR(255),ACCT,ACCT_NM,VARCHAR2(255),Null,R1 + R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Account Open Timestamp,The date on which the account was created.,TIMESTAMP(6),ACCT,ACCT_OPEN_TS,TIMESTAMP(6),Null,R1+R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Account Source Identifier,"Account Source Id
For R2 it will keep the Kenan internal customer id (ACCOUNT_NO)",DECIMAL(18),ACCT,ACCT_SRCE_ID,NUMBER(18),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Account Status Key,Unique generated key of the account status based on Account Status Code and Source System Code,INTEGER,ACCT,ACCT_STTS_KEY,NUMBER(10),Not Null,R1+R2,FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Account Status Timestamp,The date of the last status change,TIMESTAMP(6),ACCT,ACCT_STTS_TS,TIMESTAMP(6),Null,R1+R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Account Type Key,"GK based on Account Type, Account Sub Type and Source System Code",INTEGER,ACCT,ACCT_TYPE_KEY,NUMBER(10),Not Null,R1+R2,FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Anz Flag,Anz Flag,CHAR(1),ACCT,ANZ_FLG,VARCHAR2(15),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Billing Address 1 Text,Billing Address 1 Text,VARCHAR(255),ACCT,BILL_ADDR_1_TEXT,VARCHAR2(255),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Billing Address 2 Text,Billing Address 2 Text,VARCHAR(255),ACCT,BILL_ADDR_2_TEXT,VARCHAR2(255),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Billing Address 3 Text,Billing Address 3 Text,VARCHAR(255),ACCT,BILL_ADDR_3_TEXT,VARCHAR2(255),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Billing City Name,City for master bill address.,VARCHAR(255),ACCT,BILL_CITY_NM,VARCHAR2(255),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Billing Country Key,GK based on Country Source Id+Source System Code,BIGINT,ACCT,BILL_CNTY_KEY,NUMBER(18),Null,R2,FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Bill Cycle Key,GK on Billing CYCLE Id + Source System Code,INTEGER,ACCT,BILL_CYCL_KEY,NUMBER(10),Null,R2,FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Bill Display Method Type Description,Bill Display Method Type,VARCHAR(255),ACCT,BILL_DSPL_MTHD_TYPE_DS,VARCHAR2(255),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Billing Name Salutation Indicator,Billing Name Salutation Indicator,CHAR(3),ACCT,BILL_NAME_SLTN_IND,VARCHAR(15),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Billing State Name,State for master bill address.,VARCHAR(255),ACCT,BILL_STAT_NM,VARCHAR2(255),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Billing Zip Code,Stores th zip code of the billing address,VARCHAR(32),ACCT,BILL_ZIP_CD,VARCHAR2(32),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Blacklist Code,"The Blacklist code associated with the FIN Account.
valid values:
B - Bankruptcy
L - Co Wound up/Liqn/Receivership/JM
F - Fraud
S - Special
C - Unpaid Legal Costs
R - High Risk
W - Write-off
U - Final Notice
N - Termination Notice
D - Temporary Disconnection
I - Illegal",VARCHAR(32),ACCT,BKLS_CD,VARCHAR2(32),Null,R1+R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Blacklist Update Timestamp,The last date on which the blacklist code was updated.,TIMESTAMP(6),ACCT,BKLS_UPDT_TS,TIMESTAMP(6),Null,R1,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Collection Indicator,"Indicates whether the account is in collection treatment. 
Valid values: 
N - Not in collection 
Y - In collection 
T - In trial period",VARCHAR(15),ACCT,CLCT_IND,VARCHAR2(15),Null,R1+R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Collection Permanent Waiver Flag,A flag indicating that the account can't be put into collection. Yes/No,CHAR(1),ACCT,CLCT_PERM_WAIV_FLG,VARCHAR2(15),Null,R1+R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Conversion Run Number,"incremental number… 1 in phase one, 2 in phase two and so on",INTEGER,ACCT,CNVT_RUN_NO,NUMBER(9),Null,R1,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Corporate Individual Scheme Subscription Flag,CIS Flag,CHAR(1),ACCT,CORP_NDVD_SCME_SUBS_FLG,VARCHAR2(15),Null,R1,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Currency Key,The currency by which all financial activities of this account are managed.,INTEGER,ACCT,CRCY_KEY,NUMBER(10),Not Null,R1+R2,FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Credit Rating Code,"Credit rating of the financial Account.
0-New Account
1-No Reminder or 1 Reminder letter in last 6mths)
2-2 or more Reminder (Reminder Letter, Reminder Notice, Final Reminder) in last 6mths
3-Instalment cases in last 6mths
4-1 or more dishonoured cheque/default instalment cases in last 6mths
5-1 or more TD (Bar/Suspense) in last 6mths
6-1 or more TN in last 6mths
7-Deactivated status
8-Any DM strategy",VARCHAR(15),ACCT,CRDT_RATE_CD,VARCHAR2(15),Null,R1+R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Credit Rating Update Timestamp,The last date on which the credit rating was updated.,TIMESTAMP(6),ACCT,CRDT_RATE_UPDT_TS,TIMESTAMP(6),Null,R1+R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Crm Financial Account Identifier,Account unique identifier as displayed on CRM Screen.,VARCHAR(32),ACCT,CRM_FIN_ACCT_ID,VARCHAR2(32),Null,R1+R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Contact Key,Contact associated with the financial account,BIGINT,ACCT,CTCT_KEY,NUMBER(18),Not Null,R1,FK
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Contact Name 1,Contact Name 1,VARCHAR(255),ACCT,CTCT_NAME_1,VARCHAR2(255),Null,R2,Non-Key
Account,"The entity maintains information about Customer accounts.
The account is the financially liable entity and represents the liable party for billing arrangements.",Contact Name 2,Contact Name 2,VARCHAR(255),ACCT,CTCT_NAME_2,VARCHAR2(255),Null,R2,Non-Key
