Table Name ,Property,Data type,Description
Subscription,internetSubscription,Array of objects,"Describes internet subscription plan details such as data cap, connection type, and speed details. See the section below for more information."
Subscription,landlineSubscription,Array of objects,"Describes landline subscription plan details, including selected features, minutes, and dialing plans. See the section below for more information."
Subscription,mediaSubscription,Array of objects,"Describes media subscription plan details, including the number of channels and included streaming services. See the section below for more information."
Subscription,mobileSubscription,Array of objects,"Describes mobile subscription plan details, including the number of lines, data rates, cost, and more. See the section below for more information."
Subscription,primarySubscriber,Person,Describes the owner of the subscription.
Subscription,bundleName,String,"Captures the name of any type of subscription bundle in which the customer is enrolled, such as Internet + Media."
Subscription,primaryPartyID,String,"An identifier for the primary person responsible for the subscription, which typically could be their device phone number."
internetSubscription,subscriptionDetails,Telecom Subscription,"Describes general details about the subscription, including subscription length, fees, status, and more. Describes general details about the subscription, including subscription length, fees, status, and more."
internetSubscription,connectionType,String,The connection type for the subscription.
internetSubscription,dataCap,Integer,"The data cap limit for the account, in megabytes (MB)."
internetSubscription,downloadSpeed,Integer,"The maximum download speed available for the subscription, in megabytes (MB)."
internetSubscription,selfSetup,Boolean,Indicates whether a customer is eligible for internet setup without a visit from a technician.
internetSubscription,uploadSpeed,Integer,"The maximum upload speed available for the subscription, in megabytes (MB)."
,,,
landlineSubscription,phoneNumber,Phone Number,The phone number assigned to this subscription.
landlineSubscription,subscriptionDetails,Telecom Subscription,"Describes general details about the subscription, including subscription length, fees, status, and more."
landlineSubscription,callBlocking,Boolean,Indicates whether the landline subscription features include call blocking.
landlineSubscription,callForwarding,Boolean,Indicates whether the landline subscription features include call forwarding.
landlineSubscription,callWaiting,Boolean,Indicates whether the landline subscription features include call waiting.
landlineSubscription,callerID,Boolean,Indicates whether the landline subscription features include caller ID.
landlineSubscription,internationalCalling,Boolean,Indicates whether the landline subscription features include international calling.
landlineSubscription,minutes,Integer,The number of monthly minutes available within the subscription.
landlineSubscription,threeWayCalling,Boolean,Indicates whether the landline subscription features include three-way calling.
landlineSubscription,unlimitedDomesticLongDistance,Boolean,Indicates whether the landline subscription features include unlimited domestic long-distance calling.
landlineSubscription,unlimitedLocalCalling,Boolean,Indicates whether the landline subscription features include unlimited local calling.
landlineSubscription,voicemail,Boolean,Indicates whether the landline subscription features include voicemail.
mediaSubscription,treamingServices,Array of Objects,"A list of all streaming services included with the subscription. Each array item includes the following properties:promotionLength: The length of the promotion, in months, if the streaming service was added as part of a promotion.
promotionalAddition: Indicates whether the streaming service was added as part of a promotion.
serviceName: The name of the streaming service."
